2016-07-04 21:03:39 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400113, latitude=23.124648, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:39 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400113, latitude=23.124648, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:40 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400120, latitude=23.124636, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:40 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400121, latitude=23.124635, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:40 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400113, latitude=23.124648, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399344, latitude=23.126020, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 21:11:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399344, latitude=23.126020, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399344, latitude=23.126020, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399208, latitude=23.126256, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399168, latitude=23.126325, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399168, latitude=23.126325, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400288, latitude=23.124742, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400288, latitude=23.124742, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400288, latitude=23.124742, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400299, latitude=23.124727, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400305, latitude=23.124720, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:11:44 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400305, latitude=23.124720, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:14:05 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 21:14:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 21:14:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399392, latitude=23.126023, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:14:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399392, latitude=23.126023, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:14:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399392, latitude=23.126023, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:14:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399223, latitude=23.126255, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:14:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399173, latitude=23.126322, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:14:06 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399173, latitude=23.126322, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:17:00 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 21:17:00 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 21:17:00 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400153, latitude=23.124629, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:17:00 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400153, latitude=23.124629, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:17:01 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400153, latitude=23.124629, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:17:01 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400156, latitude=23.124617, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:17:01 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400156, latitude=23.124614, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:17:01 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400156, latitude=23.124614, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:36 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 21:22:36 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 21:22:36 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400047, latitude=23.124767, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:36 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400047, latitude=23.124767, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:36 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400047, latitude=23.124767, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:36 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400105, latitude=23.124667, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400108, latitude=23.124660, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400108, latitude=23.124660, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400108, latitude=23.124660, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400108, latitude=23.124660, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400108, latitude=23.124660, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:22:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400108, latitude=23.124660, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400086, latitude=23.125281, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400086, latitude=23.125281, type=1, distance=0, ip=183.41.40.220
